STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WT01,WT03
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/12/2000,,,,,,3.1,,64,26,29,23,23,,16.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/13/2000,,,,,,2.1,,71,24,28,21,28,,19.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/14/2000,,,,,,2.4,,76,31,37,28,28,,21.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/15/2000,,,,,,0,,73,25,30,22,27,,21.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/16/2000,,,,,,0.8,,77,28,31,22,28,,22.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/17/2000,,,,,,0.2,,78,24,28,20,20,,23.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/18/2000,,,,,,0.1,,77,20,31,16,19,,23.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/19/2000,,,,,,0,,75,26,38,16,32,,23.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/20/2000,,,,,,0,,74,33,39,28,33,,23.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/21/2000,,,,,,0.8,,75,35,48,28,29,,24.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/22/2000,,,,,,0.4,,76,29,35,25,29,,24.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/23/2000,,,,,,0.5,,78,27,29,25,27,,25.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/24/2000,,,,,,2,,93,22,27,15,15,,27.3,,
